Grid Name,Latitude,Longitude
Grid-12-21,24.948,66.96
Grid-12-22,24.948,66.978
Grid-12-23,24.948,66.996
Grid-12-24,24.948,67.014
Grid-12-25,24.948,67.032
Grid-12-26,24.948,67.05
Grid-12-27,24.948,67.068
Grid-12-28,24.948,67.086
Grid-13-1,24.966,66.6
Grid-13-2,24.966,66.618
Grid-13-3,24.966,66.636
Grid-13-4,24.966,66.654
Grid-13-5,24.966,66.672
Grid-13-6,24.966,66.69
Grid-13-7,24.966,66.708
Grid-13-8,24.966,66.726
Grid-13-9,24.966,66.744
Grid-13-10,24.966,66.762
Grid-13-11,24.966,66.78
Grid-13-12,24.966,66.798
Grid-13-13,24.966,66.816
Grid-13-14,24.966,66.834
Grid-13-15,24.966,66.852
Grid-13-16,24.966,66.87
Grid-13-17,24.966,66.888
Grid-13-18,24.966,66.906
Grid-13-19,24.966,66.924
Grid-13-20,24.966,66.942
Grid-13-21,24.966,66.96
Grid-13-22,24.966,66.978
Grid-13-23,24.966,66.996
Grid-13-24,24.966,67.014
Grid-13-25,24.966,67.032
Grid-13-26,24.966,67.05
Grid-13-27,24.966,67.068
Grid-13-28,24.966,67.086
Grid-14-1,24.984,66.6
Grid-14-2,24.984,66.618
Grid-14-3,24.984,66.636
Grid-14-4,24.984,66.654
