Business Name,Latitude,Longitude,Status,Category
Rite Medico,24.9082013,67.0824393,OPERATIONAL,"supermarket, pharmacy, grocery_or_supermarket, health, store, food, point_of_interest, establishment"
Storzo Pharmacy,24.9080913,67.0823089,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
African herbal Oil in Karachi,24.9165369,67.0864136,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Mona's Pharmacy,24.9208978,67.0951438,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
MEDICAL POINT CONSULTANT CLINIC & PHARMACY,24.9210692,67.0939483,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Bio Plus,24.9183104,67.096473,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Ali Medico & General Store,24.9180271,67.0970916,OPERATIONAL,"pharmacy, grocery_or_supermarket, health, store, food, point_of_interest, establishment"
Dawai Khape,24.9234838,67.0931476,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
City Medicos,24.9238776,67.0934449,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Mustafa dental hospital,24.9228553,67.0924361,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Sunshine medical and surgical store,24.9230931,67.0922114,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Medicine Point & General Store,24.9168879,67.0970818,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
MedicoSol,24.9192051,67.0915807,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Homeopathic doctor for child and womens,24.9192051,67.0915807,OPERATIONAL,"pharmacy, drugstore, health, store, point_of_interest, establishment"
kaisan pharma (PVT.) LTD,24.9192051,67.0915807,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Taqwa Medical General & Cosmetic Store,24.9207927,67.1015133,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
A One Pharmacy & General Store,24.9209142,67.1016785,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
T.O. store,24.92468,67.0924209,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Ibn-e-Seena Pharmacy,24.9221667,67.1020557,OPERATIONAL,"pharmacy, health, store, point_of_interest, establishment"
Breeze animal hospital,24.9170782,67.0917744,OPERATIONAL,"pharmacy, veterinary_care, health, store, point_of_interest, establishment"
MedsOne Pharmacy,24.9343341,67.1051179,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
Wahab Medico,24.9243902,67.1021413,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
maseeha Pharmacy,24.9241159,67.1020462,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
Mateen Medical Store,24.9225536,67.1038175,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
Bismillah Medical Store,24.9223488,67.10348,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
Shah Medical,24.9220617,67.1032498,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
Dr. Mudassir Dental Clinic,24.9035378,67.0761763,OPERATIONAL,"dentist, point_of_interest, health, establishment"
Ortho Dental,24.910519,67.07438,OPERATIONAL,"dentist, point_of_interest, health, establishment"
Mr. Dentist | Best dental clinic in Karachi,24.9105113,67.0744275,OPERATIONAL,"dentist, point_of_interest, health, establishment"
"The perfect smile, Raza dental clinic",24.9174104,67.0753813,OPERATIONAL,"dentist, point_of_interest, health, establishment"
London Laser,24.9035182,67.0756377,OPERATIONAL,"dentist, beauty_salon, hair_care, point_of_interest, doctor, health, establishment"
Smile Dental Care,24.9076602,67.0815982,OPERATIONAL,"dentist, point_of_interest, doctor, health, establishment"
Citizen Dental Clinic,24.9078336,67.0819087,OPERATIONAL,"dentist, point_of_interest, health, establishment"
Dr. Talal & Associates | COSMOS DENTAL SOLUTIONS,24.911211,67.0867645,OPERATIONAL,"dentist, health, point_of_interest, establishment"
Dr. Shafiq’s Dental Surgery,24.9168718,67.0964936,OPERATIONAL,"dentist, health, point_of_interest, establishment"
Hafeez Clinic & Dental Surgery,24.9197543,67.0958518,OPERATIONAL,"dentist, health, point_of_interest, establishment"
MEDIVERSE Dental and Aesthetic Clinics,24.9207288,67.1005536,OPERATIONAL,"spa, dentist, beauty_salon, doctor, health, point_of_interest, establishment"
The Dental Suite,24.9265137,67.1001302,OPERATIONAL,"dentist, health, point_of_interest, establishment"
Dental Rehab centre,24.9333325,67.1037118,OPERATIONAL,"dentist, health, point_of_interest, establishment"
Soneri Bank,24.9085933,67.0837364,OPERATIONAL,"atm, bank, finance, point_of_interest, establishment"
Elegance Furnitures,24.9083718,67.0605469,OPERATIONAL,"furniture_store, home_goods_store, point_of_interest, store, establishment"
Mehran Bangash Store,24.9133842,67.0790933,OPERATIONAL,"food, point_of_interest, store, establishment"
Najma Square,24.9072889,67.0787368,OPERATIONAL,"point_of_interest, establishment"
Habib Bank Limited (HBL),24.9165953,67.0661007,OPERATIONAL,"finance, atm, point_of_interest, establishment"
Gulshan-e-Iqbal,24.917218,67.0923866,UNKNOWN,"sublocality_level_1, sublocality, political"
Health Club,24.91676,67.09308,OPERATIONAL,"gym, health, point_of_interest, establishment"
Sir Syed University of Engineering and Technology,24.9156682,67.0921029,OPERATIONAL,"university, point_of_interest, establishment"
Jofa Tower,24.910693,67.0865654,OPERATIONAL,"point_of_interest, establishment"
EFU Life - Gulshan Branch,24.9076776,67.0817589,OPERATIONAL,"insurance_agency, point_of_interest, establishment"
Shaheen Public School & College,24.9167501,67.0823036,OPERATIONAL,"point_of_interest, school, establishment"
Ireen Khan Signature,24.9195186,67.0848528,OPERATIONAL,"beauty_salon, point_of_interest, establishment"
Terrabiz,24.9207692,67.0881184,OPERATIONAL,"point_of_interest, establishment"
Masjid Siddiq e Akbar,24.9197222,67.0838889,OPERATIONAL,"mosque, place_of_worship, point_of_interest, establishment"
ICMA International,24.919508,67.097378,OPERATIONAL,"university, point_of_interest, establishment"
Sindh Board of Technical Education,24.9213236,67.1008194,OPERATIONAL,"university, point_of_interest, establishment"
Umair Travels,24.9198238,67.0948939,OPERATIONAL,"travel_agency, insurance_agency, health, point_of_interest, establishment"
"Mahyas Marriage Bureau in Karachi, Pakistan",24.9281989,67.1041349,OPERATIONAL,"local_government_office, point_of_interest, establishment"
Government Degree College Gulshan-e-Iqbal Block 7,24.9275467,67.1067602,OPERATIONAL,"university, point_of_interest, establishment"
Latif Plaza,24.9281456,67.0973426,OPERATIONAL,"point_of_interest, establishment"
ER Solutions,24.9233869,67.0928595,OPERATIONAL,"general_contractor, point_of_interest, establishment"
Husaini Blood Bank,24.9201216,67.0947414,OPERATIONAL,"point_of_interest, health, establishment"
Karachi Aero Club/ Event Venue,24.9209901,67.0969159,OPERATIONAL,"point_of_interest, establishment"
Chiniot Islamia Public School,24.9270582,67.1081031,OPERATIONAL,"university, point_of_interest, establishment"
Physio Zone Home Physiotherapy & Rehabilitation Services,24.9059644,67.0719917,OPERATIONAL,"physiotherapist, health, point_of_interest, establishment"
Restore Wellness,24.919453,67.0697773,OPERATIONAL,"physiotherapist, health, point_of_interest, establishment"
Dynamic Physiotherapy and Speech Center,24.9187834,67.0836863,OPERATIONAL,"physiotherapist, health, point_of_interest, establishment"
Healing Hands home physiotherapy services,24.9240634,67.0926652,OPERATIONAL,"physiotherapist, point_of_interest, health, establishment"
"A-R MANUAL THERAPY CENTER Physio,Chiro,Massage",24.9254458,67.0985183,OPERATIONAL,"physiotherapist, health, point_of_interest, establishment"
