Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category,,,,name,id,cmp_customer_id
ChIJ6X1T-5Y9sz4Rx6RyKtC3Ncs,,PREMIER LASER & SKIN CLINIC,24.7973438,67.0455271,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,NOOR MEDICAL STORE,2448,191-4025
ChIJo_u_Ggg9sz4RKDL8h6fGMEU,,Karachi Medicos and Radiology,24.7973229,67.045552,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,MOORAD SUPER STORE,2449,191-10725
ChIJF9YXzLI9sz4Rq2Q9EDX-WBA,,Rathore Clinic/Diabetic Centre in Gizri/Clifton,24.8206402,67.0462227,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,MARFANI MEDICOS,2450,191-12414
ChIJu9aTe0Y9sz4RZ7Jnp82t9Kg,,Buner medical clinic,24.8119337,67.0355361,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,REHMAT MEDICAL AND GENERAL STO,2451,191-13627
ChIJJWCaLVQ9sz4RddlEiNNRwRU,,Dua Medical,24.8109024,67.0334181,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,PATNI AL-SHFA MEDICAL STORE,2452,191-1986
ChIJgdF2AQA9sz4RwUSXQSellQo,,Junaid Medical Center,24.8110501,67.0332913,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,MOHAMMADI MEDICAL STORE,2453,191-6068
ChIJMdgq1K49sz4R9xuvHnCf3ok,,Chinese Hospital,24.8121369,67.0377204,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,DR. AYAZ AHMED,2454,191-5548
ChIJuSbIFq89sz4RlsXnx17nDPY,,medical aid foundation,24.813307,67.0365002,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AJWA MEDICAL STORE,2455,191-12836
ChIJG_KOAso9sz4RSS74UPK7K6A,,Hashmanis Hospital Clifton,24.8296126,67.0407083,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment",#N/A,,,BISMILLAH MEDICAL STORE AND GE,2456,191-13595
ChIJk5zoGy88sz4RyI30BK6dlUY,,"Dr Obaid's Skin, Hair & Aesthetic Clinic",24.8214827,67.0348603,OPERATIONAL,"doctor, hospital, health, point_of_interest, establishment",#N/A,,,STAR DRUG STORE,2457,191-10585
ChIJR2sMB7o9sz4RDz8-TK6qPDs,,Medilink Consultant Clinics,24.8220531,67.0350449,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,DR. ATIF SAEED,2458,191-6583
ChIJ09MrTrc9sz4Rf1dxF3cC0kI,,Laserline Cosmoderma Clinic,24.8231049,67.0353019,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AL-SHIFA M/S,2459,191-1621
ChIJs8jwAm09sz4RomQwpthQAuQ,,Dr.Nauman Zafar Khan,24.8228882,67.0333681,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,CROWN MEDICAL STORE,2460,191-9455
ChIJI8i5Ybc9sz4RBmhdOhHj1j8,,Adenwala Clinic,24.8240856,67.0346141,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,AL-KAUSER MEDICAL STORE,2461,191-8311
ChIJ868Gb2M9sz4R5cbhRuFjCpc,,Midlink comsultant clincs,24.8242989,67.0351182,OPERATIONAL,"hospital, health, point_of_interest, establishment",#N/A,,,SADAQAT MEDICOSE,2462,191-6166
ChIJTSeUazM8sz4R777fzRxBNxM,,PNS SHIFA Hospital,24.8364815,67.0496923,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AHMED MEDICAL STORE.,2463,191-8978
