Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJNYS4NsY4sz4RC_Iwe7spUYo,The Modern Hospital,24.9260777,67.1072362,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJn4zR21I5sz4RnFQW9tUGY3c,dawai time pey,24.9180625,67.09706249999999,OPERATIONAL,"pharmacy, hospital, point_of_interest, health, store, establishment"
ChIJPSVuEwA_sz4RBIGUmaIxVOU,Gulshan Medical centre,24.9238464,67.09858559999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ21BCmDQ_sz4RGysXk4P-f8Q,Dental Zone,24.9220192,67.0925279,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJuVpZjqU_sz4Rg3MZaONkieY,Messiah dental care and aesthetics,24.92227369999999,67.0925862,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJQfONvzQ_sz4RHLxLARAPlFI,The Dental Specialist's Hub,24.9228303,67.09274119999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJT8uN8Rg5sz4RWdDQ6R4TOj0,Health Icon Medical & Diagnostic Centre,24.9210502,67.100397,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJwxde2zQ_sz4RPqwFrAGanww,Murreum Memorial Hospital,24.92370969999999,67.09303849999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJ5wDwcqk_sz4RnfEtBob0INw,mariyam memorial hospital,24.9237566,67.0930255,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJVa8Gb18_sz4R5aX2oaP99hQ,AL WASAY INSTITUTE & MEDICAL CENTER,24.9236736,67.0927246,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJU3g5Nrc4sz4RFP_ubzks-Zc,Al-Raaziah Clinic & Maternity Home,24.9339633,67.104396,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJVwJitT8_sz4RKeEZIyM4BJA,Times General Hospital ٹائِمز جَنرل ھسپتال,24.9323342,67.1023369,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJo8RMcgA5sz4RrXFGUesHBoU,"EPI Center, The Modern Hospital, Gulshan Iqbal Block-7, District East Karachi",24.9261461,67.1071863,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJETrfTVw5sz4RU7Tif6jPF0E,Psychologist Dr. Daniyal,24.9259667,67.10726129999999,OPERATIONAL,"hospital, point_of_interest, health, establishment"
ChIJYRTDLlA_sz4RvPz5mLOW3ws,Dr Muhammad Sajid,24.9146049,67.065168,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJqYbgWBY_sz4RQmQexvFGoiw,Dr Nasir NASAKA,24.9155704,67.0675067,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJcal6uRY_sz4R4mhNu2Z4yio,Sarwat Homoeo Clinic,24.9159468,67.06530719999999,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJTbEoEks_sz4RWWCKoB7AWuM,𝐃𝐨𝐜𝐭𝐨𝐫 𝐇𝐨𝐦𝐞 𝐕𝐢𝐬𝐢𝐭𝐬 (𝐘𝐚𝐬𝐡𝐟𝐞𝐞𝐧 𝐌𝐞𝐝𝐢𝐜𝐚𝐥 𝐂𝐞𝐧𝐭𝐫𝐞),24.9056896,67.0699207,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJIUMXRtg_sz4R19W0BABcC9c,Mukhzan Homoeo Clinic Dr. Afshan,24.9167733,67.07064,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJWYzsKfM_sz4R55h9e_XBtN4,Health homoeopathic clinic,24.9107029,67.0751575,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJn5MiZdc_sz4R8q9DYS-oUR4,Dr Paras Shaikh,24.9043325,67.0716928,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ4Ufww485sz4RWUWhb18Dhh0,Hu wash Shafi Clinic,24.9054731,67.0749435,CLOSED_TEMPORARILY,"doctor, health, point_of_interest, establishment"
ChIJo9JdXjw_sz4RdyN2RJW4PmE,Medi Clinic,24.91705499999999,67.0760502,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJwaAHrU8_sz4RDVeY94TWcAo,The public health and medical care clinic,24.9168587,67.0763491,OPERATIONAL,"hospital, doctor, health, point_of_interest, establishment"
ChIJS7kAVYg_sz4R53OAuWEGTJc,Saleem medical center,24.912506,67.0783174,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ82eMDc4_sz4RmUKjH5HFtFA,Dr Rahat Naz,24.9107266,67.0795832,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ904Wq7o_sz4RRx8Htyfd79A,Ayesha clinic۔ عائشہ کلینک,24.9107504,67.07961759999999,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJn0ZlRkA_sz4RastDo9PxvSs,Syed Clinic۔ سید کلینک,24.9103208,67.0797053,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ9UVzBQI_sz4Ra473KgKIuzo,Care and cure medical clinic,24.9138718,67.0789143,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJjVOfAgA_sz4R0EaU4ksrVZI,Dua homeopathic clinic & store,24.9129367,67.0803127,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJvUARovs_sz4RGLT2USex9AM,Dr. Farooq Bhayat Clinic,24.91054,67.08111,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJPyASK4Q_sz4RKdwhnocBBms,Hakeem Danish Razi,24.9109471,67.0812964,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ2b7F-jI_sz4RX6Jjk0AtyWA,M MEHMOOD UNANI DAWAKHANA,24.9145098,67.07997019999999,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ5039yTo_sz4RJbDPHYFGFyM,Barkat Clinic and Dental Surgery,24.9143413,67.0807252,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
ChIJ8xg2UjA_sz4RjDrZelIdA54,DR RAFI UDDIN DENTAL CLINIC,24.9165812,67.0779936,OPERATIONAL,"dentist, doctor, health, point_of_interest, establishment"
ChIJ2ZnZ9yY_sz4Rs12VAEy9KZ0,Naaz Clinic,24.9060176,67.0792701,OPERATIONAL,"doctor, health, point_of_interest, establishment"
ChIJ_Ytk5To5sz4RtjWpXoj5YK4,Kamal Homeo Clinic,24.9080312,67.08173099999999,OPERATIONAL,"pharmacy, drugstore, doctor, health, store, point_of_interest, establishment"
ChIJE-txoDQ_sz4Rx6imJmZdVyU,Family care homeoclinic,24.9122132,67.0826888,OPERATIONAL,"doctor, health, point_of_interest, establishment"
