Grid Name,Latitude,Longitude
Grid-5-20,24.770307,66.966666
Grid-5-21,24.770307,66.984666
Grid-5-22,24.770307,67.002666
Grid-5-23,24.770307,67.020666
Grid-5-24,24.770307,67.038666
Grid-5-25,24.770307,67.056666
Grid-5-26,24.770307,67.074666
Grid-5-27,24.770307,67.092666
Grid-5-28,24.770307,67.110666
Grid-5-29,24.770307,67.128666
Grid-5-30,24.770307,67.146666
Grid-5-31,24.770307,67.164666
Grid-5-32,24.770307,67.182666
Grid-5-33,24.770307,67.200666
Grid-5-34,24.770307,67.218666
Grid-5-35,24.770307,67.236666
Grid-5-36,24.770307,67.254666
Grid-5-37,24.770307,67.272666
Grid-5-38,24.770307,67.290666
Grid-5-39,24.770307,67.308666
Grid-5-40,24.770307,67.326666
Grid-5-41,24.770307,67.344666
