Place ID,Business Name,Latitude,Longitude,Status,Category
ChIJjRZ2GQg_sz4RuM6sYmyTI2c,Medieval pharmacy,24.9182901,67.0737432,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJ1Ygl7Yc_sz4RHegl7XicsV8,"Ghousia Medical Store ,Zia Ul Haq Colony,Gulshan E Iqbal Block 1",24.9208562,67.0809195,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJmaVvSX8_sz4RrLHPkZPDSZw,African herbal Oil in Karachi,24.9165369,67.0864136,OPERATIONAL,"pharmacy, point_of_interest, health, store, establishment"
ChIJ-U83D8Q5sz4R1PkkOn2GBso,Medicine Point & General Store,24.9168879,67.0970818,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJg6oaxc44sz4RlCTZvSXGJQU,Ibn-e-Seena Pharmacy,24.92216669999999,67.1020557,OPERATIONAL,"pharmacy, point_of_interest, store, health, establishment"
ChIJJaSoWmI_sz4RMYdYTDSNGsk,Breeze animal hospital,24.9170782,67.09177439999999,OPERATIONAL,"pharmacy, veterinary_care, point_of_interest, store, health, establishment"
ChIJtUaqOs84sz4RvUNmWhTKG7A,Mateen Medical Store,24.9225536,67.10381749999999,OPERATIONAL,"pharmacy, health, point_of_interest, store, establishment"
ChIJ98oSNSc_sz4RXawxMyKPm6Y,Dr. Mudassir Dental Clinic,24.9035378,67.0761763,OPERATIONAL,"dentist, point_of_interest, health, establishment"
ChIJs2f-6Ww5sz4Rl7oPyWUAvxQ,The Dental Suite,24.9265137,67.1001302,OPERATIONAL,"dentist, health, point_of_interest, establishment"
ChIJodrb5Bo_sz4RAwsAXClA7e8,Elegance Furnitures,24.9083718,67.06054689999999,OPERATIONAL,"furniture_store, home_goods_store, store, point_of_interest, establishment"
ChIJnY7hmRY_sz4RdVcLqoyD8Pg,Habib Bank Limited (HBL),24.9165953,67.06610069999999,OPERATIONAL,"finance, atm, point_of_interest, establishment"
ChIJ88PyoDI_sz4R8BdhOP2mwE8,Sir Syed University of Engineering and Technology,24.9156682,67.0921029,OPERATIONAL,"university, point_of_interest, establishment"
ChIJvxUTfzA_sz4RW_N6kiBaBJY,Shaheen Public School & College,24.9167501,67.0823036,OPERATIONAL,"school, point_of_interest, establishment"
ChIJ00--VMw4sz4RVkf9a9xjBUU,ICMA International,24.919508,67.09737799999999,OPERATIONAL,"university, point_of_interest, establishment"
ChIJvcWzxMc4sz4RPLpdWZDAT-Q,Government Degree College Gulshan-e-Iqbal Block 7,24.9275467,67.1067602,OPERATIONAL,"university, point_of_interest, establishment"
ChIJU8U9fLU4sz4RUe-tcXFqHHU,Latif Plaza,24.9281456,67.0973426,OPERATIONAL,"point_of_interest, establishment"
ChIJtxWab8w4sz4RexG9pcm_OL8,Karachi Aero Club/ Event Venue,24.9209901,67.0969159,OPERATIONAL,"point_of_interest, establishment"
ChIJdTFqscc4sz4R8F5s6_9Q0QA,Chiniot Islamia Public School,24.9270582,67.1081031,OPERATIONAL,"university, point_of_interest, establishment"
ChIJP70yvZ8_sz4Ryxy12PWLs60,Physio Zone Home Physiotherapy & Rehabilitation Services,24.9059644,67.0719917,OPERATIONAL,"physiotherapist, point_of_interest, health, establishment"
ChIJ94HJ-K4Q4wMRFH2sqDhzIOI,Restore Wellness,24.919453,67.0697773,OPERATIONAL,"physiotherapist, point_of_interest, health, establishment"
ChIJLyvyHwA5sz4RKWux9itGLx4,"A-R MANUAL THERAPY CENTER Physio,Chiro,Massage",24.9254458,67.0985183,OPERATIONAL,"physiotherapist, health, point_of_interest, establishment"
